Item Name,Item Number,Cost,In Stock,Price,Department,Retail Price
Aashirvaad atta whole wheat flour 20lb,841905080007,0,6,12.99,Shop All;Groceries/Flour,12.99
Nanak desi ghee 400g,797677300105,0,31,9.49,Shop All;Diary,9.49
Idhayam sesame oil 1L,8904001800237,0,14,11.99,Shop All;Groceries/Cooking oil,11.99
Parle parle-g gluco biscuits,723246222868,0,135,3.49,Shop All;Snacks,3.49
Haldirams khatta meetha 400g,8904063230140,0,21,4.79,Shop All;Snacks,4.79
Surati sev fine,68656002298,0,15,2.99,Shop All;Snacks,2.99
Mcvitie’s Digestives original 400g,59290311877,0,50,3.99,Shop All;Snacks,3.99
Crispy cake rusk 650g,627265002152,0,20,5.99,Shop All;Snacks,5.99
Jiva organic turmeric powder 200g,692991704121,0,16,2.99,Shop All;Groceries/Spices,2.99
Bru instant coffee 200g,68400564553,0,39,6.99,Shop All;Groceries/Beverage,6.99
Laxmi Cumin Seeds 400g,723246176475,0,11,4.49,Shop All;Groceries/Spices,4.49
Shan Tandoori Masala 50g,788821030016,0,150,1.59,Shop All;Groceries/Spices,1.59
Brooke bond red label loose leaf black tea 900g,68400611875,0,15,10.49,Shop All;Groceries/Beverage,10.49
Royal chef’s secret Basmati rice 10lb,745042000082,0,48,14.99,Shop All;Groceries/Grains,14.99
Laxmi Besan(gram flour) 4lb,723246121024,0,12,7.49,Shop All;Groceries/Flour,7.49
Laxmi sooji coarse 4lb,723246121215,12,500,15,Shop All;Groceries/Spices,15
Maggi masala spicy noodles 560g,28000943516,3.99,3000,4.5,Shop All;Groceries/Spices,4.5
